Event,Event Start Time,Event End Time
42.5,035 19:39:15.032926,035 19:39:15.082934
43,035 19:39:17.032960,035 19:39:17.082956
43.5,035 19:39:19.033027,035 19:39:19.083043
43,035 19:39:20.033120,035 19:39:20.083127
43.5,035 19:39:25.033231,035 19:39:25.083233
43,035 19:39:27.033361,035 19:39:27.083437
42.5,035 19:39:28.033385,035 19:39:28.083337
43,035 19:39:29.033379,035 19:39:29.083379
43.5,035 19:39:30.033403,035 19:39:30.083408
43,035 19:39:31.033550,035 19:39:31.083534
43.5,035 19:39:33.033517,035 19:39:33.083514
43,035 19:39:34.033550,035 19:39:34.083557
43.5,035 19:39:35.033695,035 19:39:35.083699
43,035 19:39:40.033776,035 19:39:40.083774
50,035 19:39:42.033830,035 19:39:42.083914
44.5,035 19:39:43.033945,035 19:39:43.083985
44,035 19:39:44.033937,035 19:39:44.083932
43.5,035 19:39:45.033963,035 19:39:45.083956
44,035 19:39:46.034002,035 19:39:46.084019
43.5,035 19:39:52.034214,035 19:39:52.084203
44,035 19:39:53.034279,035 19:39:53.084234
43.5,035 19:39:55.034439,035 19:39:55.084327
44,035 19:39:56.034395,035 19:39:56.084347
43.5,035 19:39:57.034394,035 19:39:57.084390
44.5,035 19:39:59.034549,035 19:39:59.084471
50.5,035 19:40:00.034541,035 19:40:00.084492
81,035 19:40:01.034556,035 19:40:01.084540
81.5,035 19:40:03.034647,035 19:40:03.084604
81,035 19:40:04.034685,035 19:40:04.084640
80,035 19:40:05.034690,035 19:40:05.084674
50,035 19:40:06.034781,035 19:40:06.084815
49.5,035 19:40:09.034854,035 19:40:09.084934
50,035 19:40:10.034937,035 19:40:10.084954
50.5,035 19:40:11.034900,035 19:40:11.084896
50,035 19:40:15.035053,035 19:40:15.085044
50.5,035 19:40:21.035317,035 19:40:21.085360
44,035 19:40:22.035312,035 19:40:22.085287
43.5,035 19:40:23.035338,035 19:40:23.085329
44,035 19:40:24.035373,035 19:40:24.085375
43.5,035 19:40:25.035506,035 19:40:25.085482
44,035 19:40:27.035477,035 19:40:27.085479
43.5,035 19:40:29.035660,035 19:40:29.085666
44,035 19:40:31.035611,035 19:40:31.085618
43.5,035 19:40:32.035674,035 19:40:32.085775
43,035 19:40:34.035724,035 19:40:34.085730
42.5,035 19:40:35.035786,035 19:40:35.085797
43,035 19:40:36.035821,035 19:40:36.085927
42.5,035 19:40:38.035873,035 19:40:38.085875
43,035 19:40:41.036040,035 19:40:41.085995
42.5,035 19:40:42.036010,035 19:40:42.086021
43.5,035 19:40:43.036070,035 19:40:43.086071
43,035 19:40:44.036156,035 19:40:44.086204
43.5,035 19:40:46.036158,035 19:40:46.086171
43,035 19:40:49.036272,035 19:40:49.086284
43.5,035 19:40:50.036326,035 19:40:50.086320
42.5,035 19:40:53.036442,035 19:40:53.086438
42,035 19:40:55.036518,035 19:40:55.086627
42.5,035 19:40:56.036648,035 19:40:56.086658
43,035 19:40:57.036626,035 19:40:57.086579
43.5,035 19:41:00.036794,035 19:41:00.086702
43,035 19:41:04.036846,035 19:41:04.086841
44.5,035 19:41:05.036938,035 19:41:05.086873
43.5,035 19:41:06.036916,035 19:41:06.086914
42.5,035 19:41:08.036988,035 19:41:08.086990
43,035 19:41:12.037126,035 19:41:12.087134
43.5,035 19:41:13.037162,035 19:41:13.087173
43,035 19:41:15.037301,035 19:41:15.087360
43.5,035 19:41:17.037309,035 19:41:17.087316
43,035 19:41:21.037449,035 19:41:21.087460
42.5,035 19:41:22.037540,035 19:41:22.087627
43,035 19:41:23.037574,035 19:41:23.087538
43.5,035 19:41:24.037571,035 19:41:24.087574
44,035 19:41:30.037785,035 19:41:30.087791
43.5,035 19:41:31.037881,035 19:41:31.087941
